;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
2480;NA;16.23;16.23;19.7;19.23;56;1613 A1_035SEL_56
2481;13.25;13.25;11.01;12.91;13.23;57;1613 A1_035SEL_57
2482;NA;7.11;7.11;9.46;10.14;59;1613 A1_035SEL_59
2483;13.5;13.5;10.69;12.59;12.95;60;1613 A1_035SEL_60
2484;13.5;13.5;17.55;22.41;21.69;61;1613 A1_035SEL_61
2485;19.5;19.5;15.71;18.81;18.43;62;1613 A1_035SEL_62
2486;NA;8.12;8.12;10.29;10.89;63;1613 A1_035SEL_63
2487;NA;13.42;13.42;15.55;15.56;64;1613 A1_035SEL_64
2488;NA;18.57;18.57;25.11;24.27;65;1613 A1_035SEL_65
2489;12.5;12.5;15.31;18.17;16.94;1;1618 A1_043SEL_1
2490;10;10;11.32;13.22;12.81;2;1618 A1_043SEL_2
2491;11.5;11.5;11.77;13.68;13.19;3;1618 A1_043SEL_3
2492;NA;14.83;14.83;17.44;16.33;4;1618 A1_043SEL_4
2493;16;16;15.61;18.63;17.33;5;1618 A1_043SEL_5
2494;11.75;11.75;12.39;14.35;13.75;6;1618 A1_043SEL_6
2495;NA;14.83;14.83;17.44;16.33;7.1;1618 A1_043SEL_7.1
2496;NA;6.99;6.99;9.37;9.53;7.2;1618 A1_043SEL_7.2
2497;NA;15.61;15.61;18.63;17.33;8;1618 A1_043SEL_8
2498;NA;12.9;12.9;14.92;14.23;9;1618 A1_043SEL_9
2499;NA;14.7;14.7;17.25;16.17;10;1618 A1_043SEL_10
2500;NA;13.9;13.9;16.16;15.26;11;1618 A1_043SEL_11
2501;NA;12.52;12.52;14.5;13.87;12.1;1618 A1_043SEL_12.1
2502;NA;14.61;14.61;17.13;16.07;13;1618 A1_043SEL_13
2503;11.75;11.75;13.9;16.16;15.26;14;1618 A1_043SEL_14
2504;NA;13.64;13.64;15.82;14.98;15;1618 A1_043SEL_15
2505;9.5;9.5;13.8;16.03;15.15;16;1618 A1_043SEL_16
2506;13.5;13.5;9.72;11.69;11.52;17;1618 A1_043SEL_17
2507;NA;11.48;11.48;13.38;12.94;18;1618 A1_043SEL_18
2508;NA;11.91;11.91;13.83;13.32;19;1618 A1_043SEL_19
2509;NA;13.48;13.48;15.62;14.81;20;1618 A1_043SEL_20
2510;NA;13.58;13.58;15.76;14.92;21;1618 A1_043SEL_21
2511;NA;14.92;14.92;17.56;16.43;22;1618 A1_043SEL_22
2512;13.5;13.5;15.98;19.26;17.86;23;1618 A1_043SEL_23
