;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
228;8;8;8.89;11.18;11.72;17;0355 A3_269LCU_17
229;NA;8.4;8.4;10.56;11.17;18;0355 A3_269LCU_18
230;NA;7.67;7.67;8.08;8.88;19;0355 A3_269LCU_19
231;NA;7.67;7.67;8.08;8.88;20;0355 A3_269LCU_20
232;NA;7.92;7.92;7.56;8.39;21;0355 A3_269LCU_21
233;NA;7.75;7.75;9.37;10.08;22;0355 A3_269LCU_22
234;NA;8.53;8.53;10.74;11.33;23;0355 A3_269LCU_23
235;NA;8.27;8.27;10.38;11.01;24;0355 A3_269LCU_24
236;NA;8.19;8.19;7.25;8.09;27;0355 A3_269LCU_27
237;NA;7.67;7.67;9.08;9.81;28;0355 A3_269LCU_28
238;10.5;10.5;13.49;14.78;14.93;31;0355 A3_269LCU_31
239;10;10;11.27;13.3;13.61;32;0355 A3_269LCU_32
240;NA;8.4;8.4;10.56;11.17;33;0355 A3_269LCU_33
241;10.5;10.5;11.91;13.76;14.02;34;0355 A3_269LCU_34
242;8;8;8.89;11.18;11.72;35;0355 A3_269LCU_35
243;NA;9.37;9.37;11.69;12.18;36;0355 A3_269LCU_36
244;NA;8.21;8.21;10.29;10.93;37;0355 A3_269LCU_37
245;NA;7.67;7.67;8.08;8.88;39;0355 A3_269LCU_39
246;NA;8;8;7.46;8.29;40;0355 A3_269LCU_40
247;NA;8;8;9.93;10.59;43;0355 A3_269LCU_43
248;NA;8.67;8.67;10.92;11.49;44;0355 A3_269LCU_44
249;NA;8.05;8.05;10.02;10.68;45;0355 A3_269LCU_45
250;NA;8.67;8.67;10.92;11.49;46;0355 A3_269LCU_46
251;NA;9.46;9.46;11.77;12.26;47;0355 A3_269LCU_47
252;9.5;9.5;9.72;12.02;12.48;49;0355 A3_269LCU_49
253;NA;7.67;7.67;8.08;8.88;50;0355 A3_269LCU_50
254;NA;11.07;11.07;13.14;13.48;51;0355 A3_269LCU_51
255;NA;9.46;9.46;11.77;12.26;52;0355 A3_269LCU_52
256;NA;7.61;7.61;8.49;9.26;53;0355 A3_269LCU_53
257;NA;9.37;9.37;11.69;12.18;54;0355 A3_269LCU_54
258;NA;7.62;7.62;8.79;9.54;55;0355 A3_269LCU_55
259;NA;7.95;7.95;9.84;10.51;56;0355 A3_269LCU_56
260;NA;7.63;7.63;8.88;9.63;57;0355 A3_269LCU_57
261;NA;8.09;8.09;7.35;8.19;58;0355 A3_269LCU_58
262;NA;7.95;7.95;9.84;10.51;59;0355 A3_269LCU_59
