;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
3766;NA;8.42;8.42;13.83;13.46;65;0426 A2_157COL_65
3767;NA;8.3;8.3;13.68;13.34;66;0426 A2_157COL_66
3768;NA;7.4;7.4;12.59;12.41;67;0426 A2_157COL_67
3769;NA;7.59;7.59;12.83;12.62;68;0426 A2_157COL_68
3770;NA;7.79;7.79;13.07;12.82;69.1;0426 A2_157COL_69.1
3771;NA;7.47;7.47;12.67;12.48;69.2;0426 A2_157COL_69.2
3772;5.75;5.75;5.93;10.74;10.83;70;0426 A2_157COL_70
3773;4;4;3.81;7.88;8.31;71;0426 A2_157COL_71
3774;NA;7.34;7.34;12.51;12.35;72;0426 A2_157COL_72
3775;NA;8.61;8.61;14.06;13.65;73;0426 A2_157COL_73
3776;NA;8.23;8.23;13.61;13.27;74;0426 A2_157COL_74
3777;NA;8.73;8.73;14.2;13.78;75;0426 A2_157COL_75
3778;NA;8.04;8.04;13.38;13.08;76;0426 A2_157COL_76
3779;NA;8.73;8.73;14.2;13.78;77;0426 A2_157COL_77
3780;NA;8.79;8.79;14.28;13.84;78;0426 A2_157COL_78
3781;6.75;6.75;9.71;15.35;14.74;79;0426 A2_157COL_79
3782;NA;8.55;8.55;13.98;13.59;80;0426 A2_157COL_80
3783;7.75;7.75;9.47;15.07;14.51;81;0426 A2_157COL_81
3784;NA;9.59;9.59;15.21;14.62;82;0426 A2_157COL_82
3785;NA;7.92;7.92;13.22;12.95;83;0426 A2_157COL_83
3786;NA;4.89;4.89;9.37;9.65;1;0427 A2_102COL_1
3787;NA;5.24;5.24;9.84;10.07;2;0427 A2_102COL_2
3788;NA;4.25;4.25;8.49;8.88;3;0427 A2_102COL_3
3789;NA;4.96;4.96;9.46;9.74;4;0427 A2_102COL_4
3790;4;4;3.67;7.67;8.14;5;0427 A2_102COL_5
3791;NA;4.1;4.1;8.29;8.7;6.1;0427 A2_102COL_6.1
3792;NA;3.88;3.88;7.98;8.42;6.2;0427 A2_102COL_6.2
3793;NA;4.75;4.75;9.17;9.49;7;0427 A2_102COL_7
3794;NA;5.17;5.17;9.74;9.99;8;0427 A2_102COL_8
3795;NA;3.52;3.52;7.46;7.95;9;0427 A2_102COL_9
3796;NA;5.8;5.8;10.56;10.7;10;0427 A2_102COL_10
3797;NA;4.18;4.18;8.39;8.79;11;0427 A2_102COL_11
3798;NA;4.68;4.68;9.08;9.4;12;0427 A2_102COL_12
3799;NA;5.52;5.52;10.2;10.39;13;0427 A2_102COL_13
3800;NA;4.46;4.46;8.79;9.14;14;0427 A2_102COL_14
3801;NA;4.25;4.25;8.49;8.88;15;0427 A2_102COL_15
3802;NA;4.61;4.61;8.98;9.31;16;0427 A2_102COL_16
3803;NA;4.75;4.75;9.17;9.49;17;0427 A2_102COL_17
3804;NA;5.87;5.87;10.65;10.78;18;0427 A2_102COL_18
3805;NA;5.1;5.1;9.65;9.9;19;0427 A2_102COL_19
3806;NA;5.45;5.45;10.11;10.31;20;0427 A2_102COL_20
3807;NA;5.45;5.45;10.11;10.31;21;0427 A2_102COL_21
3808;NA;5.45;5.45;10.11;10.31;22;0427 A2_102COL_22
3809;NA;5.8;5.8;10.56;10.7;23;0427 A2_102COL_23
3810;NA;6.41;6.41;11.35;11.38;24;0427 A2_102COL_24
3811;5;5;4.03;8.19;8.6;25;0427 A2_102COL_25
3812;NA;4.82;4.82;9.27;9.57;26;0427 A2_102COL_26
3813;NA;5.03;5.03;9.56;9.82;27;0427 A2_102COL_27
3814;NA;6.07;6.07;10.92;11.01;28;0427 A2_102COL_28
3815;NA;4.68;4.68;9.08;9.4;29;0427 A2_102COL_29
3816;NA;4.46;4.46;8.79;9.14;31;0427 A2_102COL_31
3817;NA;4.25;4.25;8.49;8.88;32;0427 A2_102COL_32
3818;4.5;4.5;5.52;10.2;10.39;33;0427 A2_102COL_33
3819;NA;4.61;4.61;8.98;9.31;34;0427 A2_102COL_34
3820;NA;4.82;4.82;9.27;9.57;35;0427 A2_102COL_35
3821;NA;4.82;4.82;9.27;9.57;36;0427 A2_102COL_36
3822;NA;5.1;5.1;9.65;9.9;37;0427 A2_102COL_37
3823;4.5;4.5;5.59;10.29;10.47;38;0427 A2_102COL_38
3824;NA;5.31;5.31;9.93;10.15;39;0427 A2_102COL_39
3825;NA;4.39;4.39;8.69;9.05;40;0427 A2_102COL_40
3826;NA;4.03;4.03;8.19;8.6;41;0427 A2_102COL_41
3827;5;5;5.31;9.93;10.15;42;0427 A2_102COL_42
3828;NA;6.21;6.21;11.09;11.16;43;0427 A2_102COL_43
3829;NA;5.31;5.31;9.93;10.15;44;0427 A2_102COL_44
3830;5;5;6.54;11.52;11.53;45;0427 A2_102COL_45
3831;NA;3.52;3.52;7.46;7.95;46;0427 A2_102COL_46
3832;4;4;4.89;9.37;9.65;48;0427 A2_102COL_48
3833;NA;4.25;4.25;8.49;8.88;49;0427 A2_102COL_49
3834;NA;4.1;4.1;8.29;8.7;50;0427 A2_102COL_50
3835;NA;4.39;4.39;8.69;9.05;51;0427 A2_102COL_51
3836;NA;4.32;4.32;8.59;8.96;53;0427 A2_102COL_53
3837;NA;5.31;5.31;9.93;10.15;54;0427 A2_102COL_54
3838;4;4;5.38;10.02;10.23;55;0427 A2_102COL_55
3839;5.25;5.25;6.27;11.18;11.23;56;0427 A2_102COL_56
3840;NA;5.31;5.31;9.93;10.15;57;0427 A2_102COL_57
3841;5;5;6.54;11.52;11.53;59;0427 A2_102COL_59
3842;NA;4.39;4.39;8.69;9.05;60;0427 A2_102COL_60
3843;NA;4.46;4.46;8.79;9.14;61;0427 A2_102COL_61
3844;NA;4.82;4.82;9.27;9.57;62;0427 A2_102COL_62
3845;NA;4.82;4.82;9.27;9.57;63;0427 A2_102COL_63
3846;NA;5.73;5.73;10.47;10.62;64;0427 A2_102COL_64
3847;NA;5.93;5.93;10.74;10.86;65;0427 A2_102COL_65
3848;4.75;4.75;5.31;9.93;10.15;66;0427 A2_102COL_66
3849;4.5;4.5;6.14;11;11.08;67;0427 A2_102COL_67
3850;5;5;5.45;10.11;10.31;68;0427 A2_102COL_68
3851;NA;5.24;5.24;9.84;10.07;69;0427 A2_102COL_69
3852;4;4;4.25;8.49;8.88;70;0427 A2_102COL_70
3853;NA;4.75;4.75;9.17;9.49;71;0427 A2_102COL_71
3854;NA;4.75;4.75;9.17;9.49;72;0427 A2_102COL_72
3855;NA;4.39;4.39;8.69;9.05;73;0427 A2_102COL_73
3856;NA;5.17;5.17;9.74;9.97;1;0428 A2_105COL_1
3857;NA;4.03;4.03;8.19;8.59;2;0428 A2_105COL_2
3858;4.75;4.75;5.93;10.74;10.84;3;0428 A2_105COL_3
3859;4.5;4.5;5.24;9.84;10.06;4;0428 A2_105COL_4
